Date,Item,Category,Purchase_Weight_kg,Purchase_Cost,Waste_Weight_kg,Waste_Reason,Days_to_Expiry,Storage_Location,Edible_Weight_kg,Waste_Percentage,True_Cost_per_kg,Apparent_Cost_per_kg,Cost_Multiplier,Waste_Cost,Notes
2025-01-15,Chicken breast,Protein,10.0,25.00,6.0,Spoilage,5,Fridge,4.0,0.60,6.25,2.50,2.50,15.00,Example entry
2025-01-16,Lettuce,Vegetable,0.5,4.00,0.25,Wilted/trim,7,Fridge,0.25,0.50,16.00,8.00,2.00,2.00,Example entry
2025-01-17,Bread,Grain,0.7,3.50,0.2,Mold,3,Pantry,0.5,0.29,7.00,5.00,1.40,1.00,Example entry

Instructions for Formulas (Row 4 onwards):
Column J (Edible_Weight_kg): =D4-F4
Column K (Waste_Percentage): =F4/D4
Column L (True_Cost_per_kg): =E4/J4
Column M (Apparent_Cost_per_kg): =E4/D4
Column N (Cost_Multiplier): =L4/M4
Column O (Waste_Cost): =(F4/D4)*E4

Summary Calculations (add these below your data):
Total Purchases: =SUM(E:E)
Total Waste Weight: =SUM(F:F)
Total Waste Cost: =SUM(O:O)
Average Waste Percentage: =AVERAGE(K:K)
Overall Cost Multiplier: =SUM(E:E)/(SUM(E:E)-SUM(O:O))
Total Edible Value: =SUM(E:E)-SUM(O:O)

Category Analysis (use SUMIF for each category):
Vegetable Waste %: =SUMIF(C:C,"Vegetable",F:F)/SUMIF(C:C,"Vegetable",D:D)
Protein Waste %: =SUMIF(C:C,"Protein",F:F)/SUMIF(C:C,"Protein",D:D)
Grain Waste %: =SUMIF(C:C,"Grain",F:F)/SUMIF(C:C,"Grain",D:D)
Dairy Waste %: =SUMIF(C:C,"Dairy",F:F)/SUMIF(C:C,"Dairy",D:D)
Fruit Waste %: =SUMIF(C:C,"Fruit",F:F)/SUMIF(C:C,"Fruit",D:D)
